PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Kawhi Leonard,SAS,66,54,12,1923,763922,144.7,77.7,67,4.52,4.88,4.17,2013
Justin Hamilton,MIA,8,4,4,72,27340,5.2,2.8,2.3,4.33,4.46,4,2013
Julyan Stone,TOR,21,9,12,120,45437,8.6,4.8,3.8,4.31,4.58,4.01,2013
Jrue Holiday,NOP,34,15,19,1143,438610,83.1,44.7,38.4,4.38,4.91,3.88,2013
Josh Smith,DET,77,28,49,2730,903004,171,86.5,84.5,3.77,3.81,3.72,2013
Josh Powell,HOU,1,0,1,19,6561,1.2,0.6,0.6,3.74,3.98,3.52,2013
Josh McRoberts,CHA,77,38,39,2329,868402,164.5,94.2,70.3,4.24,4.72,3.74,2013
Josh Harrellson,DET,32,12,20,317,113324,21.5,11.1,10.3,4.08,4.33,3.8,2013
Josh Childress,NOP,4,2,2,24,8992,1.7,0.8,0.9,4.28,4.37,4.2,2013
Jose Calderon,DAL,81,49,32,2468,944316,178.8,100.1,78.7,4.36,4.84,3.87,2013
Jorge Gutierrez,BKN,15,8,7,244,93025,17.6,9.5,8.1,4.39,4.63,4.15,2013
Jordan Hill,LAL,72,24,48,1500,560841,106.2,55.2,51,4.26,4.5,4.03,2013
Jordan Hamilton,HOU,60,31,29,1020,390896,74,38.6,35.4,4.37,4.68,4.07,2013
Jordan Farmar,LAL,41,16,25,912,357193,67.7,37,30.7,4.47,4.97,3.98,2013
Jordan Crawford,GSW,81,39,42,1860,656136,124.3,67.7,56.5,4.02,4.34,3.7,2013
Jonas Valanciunas,TOR,80,46,34,2266,829039,157,84.3,72.7,4.17,4.31,4.01,2013
Jonas Jerebko,DET,64,23,41,741,289140,54.8,29.4,25.3,4.45,4.78,4.1,2013
Jon Leuer,MEM,49,24,25,642,249375,47.2,25.6,21.6,4.43,4.75,4.1,2013
John Wall,WAS,81,44,37,2945,1055848,200,107.7,92.2,4.08,4.48,3.69,2013
John Salmons,TOR,77,46,31,1699,590290,111.8,59,52.8,3.99,4.09,3.87,2013
