PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Garrett Temple,WAS,28,6/6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,75,138,68,72,-5.6,3.30%,8.00%,13.80%,43.10%,18.00%,2013
Gary Neal,CHA,29,6/4,210,Towson,USA,Undrafted,Undrafted,Undrafted,52,548,90,83,-8,0.90%,7.60%,23.50%,53.00%,13.70%,2013
George Hill,IND,28,6/3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,76,781,283,265,6.6,2.30%,8.90%,14.60%,56.30%,17.00%,2013
Gerald Green,PHX,28,6/8,210,No College,USA,2005,1,18,82,"1,295.00",275,122,1.1,2.10%,9.80%,23.30%,58.50%,8.50%,2013
Gerald Henderson,CHA,26,6/5,215,Duke,USA,2009,1,12,77,"1,081.00",310,199,-1.3,1.30%,11.20%,22.10%,50.70%,13.70%,2013
Gerald Wallace,BOS,31,6/7,220,Alabama,USA,2001,1,25,58,298,212,143,-5.8,2.50%,13.10%,11.50%,54.30%,15.20%,2013
Giannis Antetokounmpo,MIL,19,6/9,205,None,Greece,2013,1,15,77,525,339,150,-4.5,4.20%,14.00%,14.80%,51.80%,12.00%,2013
Gigi Datome,DET,26,6/8,215,None,Italy,Undrafted,Undrafted,Undrafted,34,83,46,11,7.7,5.20%,14.50%,19.80%,40.90%,7.10%,2013
Glen Davis,LAC,28,6/9,289,Louisiana State,USA,2007,2,35,68,641,351,77,-5,6.50%,14.90%,20.00%,49.10%,8.00%,2013
Glen Rice,WAS,23,6/6,206,Michigan,USA,2013,2,35,11,32,20,7,5.9,3.10%,16.00%,18.60%,39.90%,10.10%,2013
Goran Dragic,PHX,28,6/3,190,None,Slovenia,2008,2,45,76,"1,542.00",245,447,5.6,2.70%,6.60%,24.10%,60.40%,27.40%,2013
Gordon Hayward,UTA,24,6/8,220,Butler,USA,2010,1,9,77,"1,248.00",391,400,-7.4,2.30%,12.60%,22.70%,52.00%,23.70%,2013
Gorgui Dieng,MIN,24,6/11,238,Louisville,Senegal,2013,1,21,60,286,300,39,-3.5,11.70%,23.40%,16.70%,53.40%,7.60%,2013
Greg Monroe,DET,24,6/11,250,Georgetown,USA,2010,1,7,82,"1,249.00",760,171,-2.7,8.80%,19.60%,21.10%,53.10%,10.10%,2013
Greg Oden,MIA,26,7/1,273,Ohio State,USA,2007,1,1,23,67,54,1,-7.2,11.20%,15.80%,15.00%,56.70%,0.70%,2013
